,world_rank,university_name,rscores
171,195,Charité - Universitätsmedizin Berlin,49.1967883884
172,196,Newcastle University,48.895819698
173,196,"St George’s, University of London",49.1114130778
174,198,University of Trento,49.1610030186
175,199,Paris Diderot University – Paris 7,48.8334410616
176,200,Queen’s University Belfast,48.3955598073
177,201-250,Aalborg University,44.455871879
178,201-250,"Birkbeck, University of London",47.588659539
179,201-250,University of Bologna,46.5359466759
180,201-250,University at Buffalo,46.3217528669
181,201-250,University of Calgary,47.8110103943
182,201-250,Chalmers University of Technology,44.6693203588
183,201-250,City University of Hong Kong,47.7992365075
184,201-250,Copenhagen Business School,44.8307901056
185,201-250,Dalhousie University,44.2793539016
186,201-250,University of Duisburg-Essen,47.8601622415
187,201-250,École Normale Supérieure de Lyon,47.6557456621
188,201-250,Florida State University,46.7587081096
189,201-250,University of Fribourg,46.4174379651
190,201-250,Fudan University,44.3870884071
191,201-250,George Washington University,44.3502418332
192,201-250,Goethe University Frankfurt,48.4890747636
193,201-250,Hong Kong Polytechnic University,45.0875188617
194,201-250,University of Illinois at Chicago,45.0653431809
195,201-250,University of Iowa,46.1197086069
196,201-250,Johannes Gutenberg University of Mainz,44.4233325769
197,201-250,Medical University of Vienna,46.0066471661
198,201-250,Northeastern University,47.1639586742
199,201-250,Oregon Health and Science University,44.6787219496
200,201-250,University of Otago,48.1174277173
201,201-250,University of Ottawa,46.5579152172
202,201-250,Paris Descartes University,45.4182699867
203,201-250,Peter the Great St Petersburg Polytechnic University,47.3755741242
204,201-250,Polytechnic University of Milan,46.8304982471
205,201-250,Royal Veterinary College,45.5207032667
206,201-250,Rush University,46.0452741183
207,201-250,Sapienza University of Rome,44.6190715257
208,201-250,Stony Brook University,46.0484096197
209,201-250,University of Stuttgart,48.3919337757
210,201-250,Technical University of Darmstadt,45.8060672355
211,201-250,University of Technology Sydney,46.1932309122
212,201-250,University of Texas at Dallas,46.2694243312
213,201-250,Tilburg University,46.2993936333
214,201-250,Tohoku University,45.1918638494
215,201-250,Tokyo Institute of Technology,44.6668440958
216,201-250,University of Victoria,44.796009262
217,201-250,Wake Forest University,47.6398700895
218,201-250,University of Western Ontario,45.6626650117
219,201-250,William & Mary,45.0481874703
220,201-250,University of the Witwatersrand,47.5719075795
221,251-300,Aalto University,44.0486908856
222,251-300,Aix-Marseille University,42.4687432427
223,251-300,University of Bath,40.9279990755
224,251-300,Bayreuth University,42.2120760731
225,251-300,Bielefeld University,44.1277884433
226,251-300,University of Bordeaux,40.4610378888
227,251-300,Charles Darwin University,43.6121598791
228,251-300,Colorado School of Mines,43.8891275396
229,251-300,Colorado State University,40.644673694
230,251-300,University of Delaware,43.8110359967
231,251-300,Flinders University,40.6630208717
232,251-300,University of Georgia,40.6496573523
233,251-300,University of Iceland,42.4416174915
234,251-300,Indian Institute of Science,42.3372968926
235,251-300,Iowa State University,40.5463012564
236,251-300,James Cook University,43.0301632646
237,251-300,Justus Liebig University Giessen,40.4027928554
238,251-300,King Abdulaziz University,42.3866976471
239,251-300,Koç University,42.9598584651
240,251-300,University of Liège,41.1490345912
241,251-300,Linköping University,41.2217158868
242,251-300,Nanjing University,42.1416590897
243,251-300,National Tsing Hua University,41.175822474
244,251-300,"National University of Ireland, Galway",42.8560262629
245,251-300,University of Newcastle,43.3545728432
246,251-300,North Carolina State University,42.4663926925
247,251-300,Oregon State University,40.7197911397
248,251-300,Osaka University,42.6048680447
249,251-300,Queen’s University,43.4514816058
250,251-300,Queensland University of Technology,43.3324629445
251,251-300,Rensselaer Polytechnic Institute,43.0236101709
252,251-300,Royal College of Surgeons in Ireland,42.0832215287
253,251-300,Ruhr University Bochum,40.5437377598
254,251-300,Saint Louis University,42.6202033845
255,251-300,University of São Paulo,43.6117816428
256,251-300,Simon Fraser University,43.0516545818
257,251-300,University of Surrey,40.7822568307
258,251-300,Syracuse University,42.5383133162
259,251-300,University of Tasmania,41.3599608001
260,251-300,Tomsk Polytechnic University,42.9398799851
261,251-300,Tulane University,41.2066498529
262,251-300,Umeå University,40.9274312819
263,251-300,Vienna University of Technology,43.9843627874
264,251-300,Virginia Polytechnic Institute and State University,41.3984295935
265,251-300,University of Wollongong,41.6358653347
266,251-300,Zhejiang University,41.7625727267
267,301-350,Aberystwyth University,38.184719608
268,301-350,University of Alaska Fairbanks,38.3848605439
269,301-350,Autonomous University of Madrid,38.3962522225
270,301-350,Bangor University,39.5273787859
271,301-350,University of Bremen,38.7878948841
272,301-350,University of Cincinnati,40.1258401176
273,301-350,University of Connecticut,39.3687680986
274,301-350,Deakin University,39.5466895389
275,301-350,University of Essex,38.9968017682
276,301-350,George Mason University,38.0798485322
277,301-350,University of Greifswald,38.2906386522
278,301-350,Gwangju Institute of Science and Technology,39.9320056514
279,301-350,University of Hohenheim,39.7615218622
280,301-350,University of Innsbruck,40.3213943346
281,301-350,Kazan Federal University,39.7538332173
282,301-350,University of Kent,38.2366964855
283,301-350,Leibniz University of Hanover,38.5004510099
284,301-350,Macquarie University,39.6774765576
285,301-350,Medical College of Wisconsin,39.8784115108
286,301-350,University of Milan,39.7828039101
287,301-350,University of Milan-Bicocca,38.4826409925
288,301-350,Montpellier University,39.1750812082
289,301-350,Nagoya University,40.179420946
290,301-350,National Chiao Tung University,38.449064935
291,301-350,National Research Nuclear University MePhI,39.0691933048
292,301-350,National Taiwan University of Science and Technology (Taiwan Tech),38.704409892
293,301-350,University of Navarra,38.5175368553
294,301-350,University of Nebraska-Lincoln,38.2313422621
295,301-350,Örebro University,38.6460141527
296,301-350,University of Oregon,38.2005067135
297,301-350,University of Padua,40.6578944814
298,301-350,University of Pavia,38.5879036443
299,301-350,Plymouth University,39.0217288649
300,301-350,Shanghai Jiao Tong University,39.3837685822
301,301-350,University of Southern Denmark,40.0401311345
302,301-350,Stellenbosch University,39.0963997597
303,301-350,University of Strasbourg,39.9689531104
304,301-350,Technical University of Dortmund,39.9309077764
305,301-350,Technion Israel Institute of Technology,39.99402294
306,301-350,Toulouse 1 Capitole University,38.73791153
307,301-350,University of Trieste,40.117702392
308,301-350,University of Turin,39.50826698
309,301-350,University of Turku,39.7016178176
310,301-350,Vrije Universiteit Brussel,39.5777331225
311,301-350,V_B - Technical University of Ostrava,38.7603848169
312,301-350,York University,37.9075706834
313,351-400,"Binghamton University, State University of New York",35.2664801067
314,351-400,University of Crete,37.8319617002
315,351-400,University of Cyprus,37.1696382505
316,351-400,Drexel University,35.2623090594
317,351-400,University of Eastern Finland,37.3535210935
318,351-400,University of Florence,38.172897911
319,351-400,University of St Gallen,35.0369146202
320,351-400,Graz University of Technology,35.3340574024
321,351-400,University of Guelph,36.8368894628
322,351-400,Hong Kong Baptist University,36.8496842315
323,351-400,University of Houston,37.4692610602
324,351-400,Indian Institute of Technology Bombay,36.9721071673
325,351-400,Instituto Superior Técnico Lisboa,36.4024835504
326,351-400,University of Jyväskylä,36.9709406796
327,351-400,La Trobe University,36.8576632367
328,351-400,Loughborough University,37.3729697615
329,351-400,University of Manitoba,36.1815523597
330,351-400,University of Missouri,36.7118293135
331,351-400,University of Modena and Reggio Emilia,35.6479847671
332,351-400,University of Montana,35.3099362277
333,351-400,"National University of Ireland, Maynooth",35.4663837649
334,351-400,University of Nebraska Medical Center,37.9249402507
335,351-400,Norwegian University of Science and Technology,36.202234002
336,351-400,University of Oulu,35.2233140549
337,351-400,Panthéon-Sorbonne University – Paris 1,36.2207718905
338,351-400,Polytechnic University of Turin,37.3494733335
339,351-400,University of Rome III,36.3531427026
340,351-400,Sabancı University,37.0581545994
341,351-400,San Diego State University,35.6141650108
342,351-400,University of South Australia,36.6976820857
343,351-400,University of South Carolina,35.8898831791
344,351-400,University of South Dakota,35.5196399523
345,351-400,State University of Campinas,35.6286863512
346,351-400,University of Stirling,37.7706053414
347,351-400,Sun Yat-sen University,35.3140193048
348,351-400,Swansea University,37.1602013842
349,351-400,Swinburne University of Technology,35.3535207228
350,351-400,University of Tartu,37.5209751269
351,351-400,Temple University,36.23747574
352,351-400,University of Texas at San Antonio,35.7896388755
353,351-400,UiT The Arctic University of Norway,36.8514151188
354,351-400,Université Libre de Bruxelles,37.7223759353
355,351-400,Lille 2 University – Health and Law,35.6375747747
356,351-400,University College Cork,36.7120441342
357,351-400,Verona University,37.7385958371
358,351-400,Victoria University of Wellington,37.1233842369
359,351-400,Washington State University,36.2292898198
360,351-400,Wayne State University,36.6142423722
361,401-500,American University,32.8342568739
362,401-500,University of Aveiro,32.878375245
363,401-500,University of Bari Aldo Moro,33.2434058596
364,401-500,Bar-Ilan University,30.1197324872
365,401-500,Bournemouth University,29.4775930549
366,401-500,University of Brescia,34.5481122572
367,401-500,Brno University of Technology,30.18961259
368,401-500,Brunel University London,33.5569528951
369,401-500,Ca’ Foscari University of Venice,33.8147156034
370,401-500,University of Cagliari,30.1167376563
371,401-500,University of Canterbury,33.1698096395
372,401-500,Charles University in Prague,32.7994389924
373,401-500,"China Medical University, Taiwan",32.93432353
374,401-500,City University London,33.5374892107
375,401-500,Claude Bernard University Lyon 1,34.8358782805
376,401-500,University of Coimbra,33.4635585919
377,401-500,Complutense University of Madrid,31.2530495338
378,401-500,Concordia University,29.8864205084
379,401-500,Curtin University,33.0070097743
380,401-500,Dublin City University,32.8983975293
381,401-500,Ewha Womans University,31.6576682722
382,401-500,Federico Santa María Technical University,34.2541753121
383,401-500,University of Ferrara,33.5083774886
384,401-500,Florida International University,31.0720704955
385,401-500,University of Genoa,34.2222149563
386,401-500,Georgia State University,32.4023929879
387,401-500,University of Graz,34.0145580423
388,401-500,Heriot-Watt University,32.1122027162
389,401-500,Hokkaido University,33.9773126001
390,401-500,University of Hull,29.7248697528
391,401-500,University of Idaho,29.5319782202
392,401-500,Indian Institute of Technology Delhi,31.2993155312
393,401-500,Indian Institute of Technology Kharagpur,33.431352978
394,401-500,Indian Institute of Technology Madras,29.5007169032
395,401-500,University of Ioannina,30.1849705819
396,401-500,Iran University of Science and Technology,30.8535501812
397,401-500,Johannes Kepler University of Linz,30.5300372096
398,401-500,University of Kaiserslautern,35.0675782932
399,401-500,Keele University,32.9832709595
400,401-500,University of KwaZulu-Natal,31.3109974739
401,401-500,Kyushu University,32.6521874143
402,401-500,Lehigh University,32.689413604
403,401-500,University of Macau,33.5795356534
404,401-500,Makerere University,34.0557457078
405,401-500,Marche Polytechnic University,34.8556439257
406,401-500,"University of Maryland, Baltimore County",33.0639566963
407,401-500,Murdoch University,34.0713190001
408,401-500,National Autonomous University of Mexico,33.6370136539
409,401-500,National Cheng Kung University,33.6622780128
410,401-500,National Institute of Applied Sciences of Lyon (INSA Lyon),29.3596656598
411,401-500,National Yang-Ming University,29.8586382585
412,401-500,New University of Lisbon,30.433729233
413,401-500,University of Nice Sophia Antipolis,33.6935581371
414,401-500,Novosibirsk State University,32.8496788423
415,401-500,The Open University,32.9052090758
416,401-500,Oxford Brookes University,31.6667973681
417,401-500,University of Palermo,33.2217929062
418,401-500,University of Parma,30.927634869
419,401-500,University of Pisa,34.7361379677
420,401-500,Polytechnic University of Catalonia,31.0822077441
421,401-500,University of Porto,33.5391982264
422,401-500,University of Portsmouth,32.1800447081
423,401-500,RMIT University,32.7871325804
424,401-500,University of Rome II – Tor Vergata,35.2335701189
425,401-500,University of Rovira i Virgili,34.6404109023
426,401-500,Saint Petersburg State University,31.2050228947
427,401-500,University of Salento,31.5147991248
428,401-500,University of San Francisco,30.7781276259
429,401-500,University of Saskatchewan,33.1089598436
430,401-500,Sharif University of Technology,30.6014092164
431,401-500,University of Siena,29.7003999553
432,401-500,Southern Cross University,31.829666543
433,401-500,State University of New York Albany,31.7546063725
434,401-500,University of Strathclyde,31.6775965341
435,401-500,University of Tampere,34.312329256
436,401-500,Tampere University of Technology,31.2575556519
437,401-500,Tokyo Medical and Dental University (TMDU),31.3432953543
438,401-500,Tokyo Metropolitan University,33.8693993142
439,401-500,University of Tsukuba,34.5900020193
440,401-500,Ulster University,29.0795877502
441,401-500,Université du Québec à Montréal,31.5663850874
442,401-500,Universiti Teknologi Malaysia,30.3603064757
443,401-500,University of Urbino Carlo Bo,31.2835921381
444,401-500,University of Valencia,30.5554746248
445,401-500,University of Waikato,34.3498057619
446,401-500,Western Sydney University,33.6725660025
447,501-600,Amirkabir University of Technology,27.6250286625
448,501-600,"University of the Andes, Colombia",24.2833039974
449,501-600,University of Arkansas,24.6013708551
450,501-600,Auburn University,23.9111863336
451,501-600,Babe_-Bolyai University,25.1638072513
452,501-600,University of the Basque Country,25.2845088523
453,501-600,Bauman Moscow State Technical University,24.036117167
454,501-600,Ben-Gurion University of the Negev,27.3611557901
455,501-600,Bo_aziçi University,28.7726455203
456,501-600,University of Canberra,24.9685090249
457,501-600,Carleton University,27.7457253648
458,501-600,University of Catania,29.111615499
459,501-600,Central Queensland University,27.248187819
460,501-600,China Agricultural University,27.4607911276
461,501-600,Chung-Ang University,26.9776382983
462,501-600,De Montfort University,24.8692427159
463,501-600,East China Normal University,28.0409856911
464,501-600,Edith Cowan University,26.6212896194
465,501-600,Federal University of Rio de Janeiro,24.0009476121
466,501-600,University of Granada,28.8656760011
467,501-600,University of Haifa,27.5559865606
468,501-600,Harbin Institute of Technology,25.9591071935
469,501-600,University of Hertfordshire,28.9111558104
470,501-600,Hiroshima University,29.1352169652
471,501-600,Huazhong University of Science and Technology,28.128225332
472,501-600,Indian Institute of Technology Guwahati,28.17994612
473,501-600,Indian Institute of Technology Kanpur,25.8382002839
474,501-600,Indian Institute of Technology Roorkee,28.5007847481
475,501-600,Isfahan University of Technology,28.0780734993
476,501-600,Istanbul Technical University,24.9069774598
477,501-600,Jadavpur University,27.5682024746
478,501-600,Kanazawa University,24.5244765982
479,501-600,Kansas State University,27.8518607435
480,501-600,Keio University,23.8836793789
481,501-600,Kent State University,28.9244821403
482,501-600,University of La Laguna,25.4316644943
483,501-600,Lappeenranta University of Technology,28.307963442
484,501-600,University of Limerick,27.9477126236
485,501-600,University of Lisbon,27.2887589927
486,501-600,Liverpool John Moores University,27.1758087448
487,501-600,Mahidol University,26.0498685907
488,501-600,Manchester Metropolitan University,23.8719598873
489,501-600,Masaryk University,25.8530742269
490,501-600,Massey University,28.148182865
491,501-600,Memorial University of Newfoundland,25.7042006981
492,501-600,Middle East Technical University,26.2024735071
493,501-600,University of Minho,28.2936585421
494,501-600,Missouri University of Science and Technology,25.2405321019
495,501-600,Montana State University,28.9644410166
496,501-600,Monterrey Institute of Technology and Higher Education,24.1795005873
497,501-600,National Central University,23.8412959412
498,501-600,National Sun Yat-Sen University,27.9527957404
499,501-600,National Taiwan Normal University,26.8382629484
500,501-600,National Technical University of Athens,24.750023465
501,501-600,New Jersey Institute of Technology,24.4275041886
502,501-600,New Mexico State University,28.7567225494
503,501-600,University of North Carolina at Greensboro,24.8889062737
504,501-600,Oklahoma State University,27.5560621326
505,501-600,Osaka City University,24.6951973022
506,501-600,Otto von Guericke University of Magdeburg,27.1483577713
507,501-600,University of Oviedo,25.1385759266
508,501-600,Palack_ University in Olomouc,26.4550111283
509,501-600,Panjab University,24.1854485322
510,501-600,Paris Dauphine University,23.7728784674
511,501-600,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),26.249750036
512,501-600,Portland State University,25.6546818453
513,501-600,University of Pretoria,23.7625231035
514,501-600,Pusan National University,25.6945017173
515,501-600,University of Regina,23.8034805516
516,501-600,University of Rennes 1,26.3624407812
517,501-600,University of Salamanca,24.3641803997
518,501-600,University of Santiago de Compostela,28.6973495408
519,501-600,Semmelweis University,28.2925620925
520,501-600,University of Seville,23.9705706572
521,501-600,Université de Sherbrooke,26.3808949993
522,501-600,Soochow University,26.6999719816
523,501-600,South China University of Technology,24.3200933873
524,501-600,Tallinn University of Technology,24.9512121189
525,501-600,Tehran University of Medical Sciences,26.0940929111
526,501-600,University of Texas at Arlington,28.670011472
527,501-600,Tokyo University of Agriculture and Technology,25.0021634717
528,501-600,University of Toledo,25.8187359756
529,501-600,Tongji University,25.4712295619
530,501-600,University of Tulsa,24.9680966779
531,501-600,United Arab Emirates University,24.1678357951
532,501-600,University of Warsaw,29.0503137248
533,501-600,University of Wisconsin-Milwaukee,25.5076078064
534,501-600,Xi’an Jiaotong University,26.5401787787
535,501-600,University of Zaragoza,28.0987189679
536,601-800,University of A Coruña,16.0428528727
537,601-800,Adam Mickiewicz University,16.468957641
538,601-800,Ajou University,19.046111507
539,601-800,University of Alcalá,21.7887053952
540,601-800,Alexandria University,15.9322103247
541,601-800,Alexandru Ioan Cuza University,17.7092029629
542,601-800,Aligarh Muslim University,19.8821542721
543,601-800,American University of Sharjah,18.9015834549
544,601-800,Anadolu University,17.4681892442
545,601-800,Andhra University,14.1579160632
546,601-800,University of Antioquia,20.3077065077
547,601-800,Aristotle University of Thessaloniki,23.660904894
548,601-800,"Asia University, Taiwan",20.4935524434
549,601-800,Athens University of Economics and Business,23.5026986453
550,601-800,Auckland University of Technology,22.0851127241
551,601-800,Austral University of Chile,16.3804254163
552,601-800,Belarusian State University,14.6663550472
553,601-800,University of Belgrade,17.8334362423
554,601-800,"Birla Institute of Technology and Science, Pilani",14.958340674
555,601-800,University of Bradford,23.439159126
556,601-800,University of Brighton,19.2287382831
557,601-800,University of Bucharest,19.0768153712
558,601-800,Budapest University of Technology and Economics,19.0557017498
559,601-800,Cairo University,15.6603443506
560,601-800,Capital Medical University,19.1843143539
561,601-800,University of Castilla-La Mancha,20.55002475
562,601-800,University of Central Lancashire,20.4002067182
563,601-800,University of Cergy-Pontoise,15.4765009868
564,601-800,Chang Gung University,23.3655749705
565,601-800,Carlos III University of Madrid,23.6241833789
566,601-800,Chiang Mai University,20.5364459576
567,601-800,Chiba University,23.3315251174
568,601-800,Chonbuk National University,20.3156248426
569,601-800,Chonnam National University,19.663091814
570,601-800,Chulalongkorn University,19.6987811098
571,601-800,Chung Yuan Christian University,18.9287595457
572,601-800,Clemson University,23.6355438553
573,601-800,Comenius University in Bratislava,20.0743892863
574,601-800,Coventry University,18.4880790589
575,601-800,Dalian University of Technology,23.2813096072
576,601-800,University of Delhi,19.7733394958
577,601-800,Dublin Institute of Technology,19.2641071332
578,601-800,Ehime University,16.6682345852
579,601-800,University of Electronic Science and Technology of China,14.1678137291
580,601-800,Erciyes University,15.2525768189
581,601-800,Federal University of Minas Gerais,22.262848537
582,601-800,Federal University of Santa Catarina,18.2716362577
583,601-800,Federal University of Viçosa,19.9261362791
584,601-800,Feng Chia University,21.1906410876
585,601-800,Florida Institute of Technology,22.651767161
586,601-800,Fu Jen Catholic University,15.2052277335
587,601-800,Gda_sk University of Technology,14.1797531695
588,601-800,Gifu University,19.0808439037
589,601-800,Glasgow Caledonian University,19.9719819235
590,601-800,University of Greenwich,19.2115489888
591,601-800,Hacettepe University,17.8245722408
592,601-800,University of Huddersfield,16.2379259313
593,601-800,Hunan University,18.5150798107
594,601-800,University of Ibadan,14.2475749644
595,601-800,University of Indonesia,15.8151352962
596,601-800,Inha University,22.1370178207
597,601-800,I-Shou University,13.9986451447
598,601-800,Istanbul University,21.7127388334
599,601-800,Jagiellonian University,23.9198126281
600,601-800,Jilin University,19.5751489329
601,601-800,University of Jordan,15.04325521
602,601-800,Jordan University of Science and Technology,17.1244899779
603,601-800,Juntendo University,22.3823371051
604,601-800,K.N. Toosi University of Technology,20.2016610564
605,601-800,Kaohsiung Medical University,21.1853523375
606,601-800,Khon Kaen University,16.8373356525
607,601-800,King Mongkut’s University of Technology Thonburi,23.6574225111
608,601-800,Kingston University,22.7390902979
609,601-800,Kobe University,22.7856869102
610,601-800,Konkuk University,19.3679295596
611,601-800,Kumamoto University,21.497023129
612,601-800,Kyungpook National University,18.8554389318
613,601-800,Kyushu Institute of Technology,16.24415491
614,601-800,University of Latvia,19.2725472366
615,601-800,Lille 1 University – Science and Technology,23.2886673021
616,601-800,University of Lincoln,21.6547652323
617,601-800,University of Ljubljana,22.1956828088
618,601-800,University of Marrakech Cadi Ayyad,14.5300459006
619,601-800,Miami University,23.7361361717
620,601-800,University of Murcia,20.4761444141
621,601-800,University of Nairobi,16.798686235
622,601-800,National Chengchi University,16.5083247231
623,601-800,National Chung Hsing University,20.6937268792
624,601-800,National Taipei University of Technology,17.7591243482
625,601-800,National Taiwan Ocean University,19.8069499019
626,601-800,National University of Córdoba,14.2533457534
627,601-800,National University of Science and Technology (MISiS),20.0113282346
628,601-800,National University of Sciences and Technology,22.2430813521
629,601-800,Niigata University,16.9036616513
630,601-800,Northumbria University,21.8235997827
631,601-800,Northwestern Polytechnical University,14.3100811132
632,601-800,Nottingham Trent University,20.1178535787
633,601-800,Oakland University,17.8042897048
634,601-800,Ocean University of China,15.0011530354
635,601-800,Ohio University,22.3401598548
636,601-800,Okayama University,21.9109231707
637,601-800,Osaka Prefecture University,16.941189645
638,601-800,University of Pardubice,14.0388075537
639,601-800,University of Paris North – Paris 13,23.592589738
640,601-800,Paris-Sorbonne University – Paris 4,21.5601315038
641,601-800,University of Patras,21.2569558576
642,601-800,Polytechnic University of Valencia,23.6783060982
