,Actors,Awards,Country,Director,Error,Genre,Language,Metascore,Plot,Poster,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
10,"Xuxa Meneghel, Marcelo Adnet, Raquel Bonfante, Alice Borges",N/A,Brazil,Rudi Lagemann,,Family,Portuguese,N/A,N/A,http://ia.media-imdb.com/images/M/MV5BMDRlODUwNDgtNmYwNi00Zjc5LThiZTEtNWIzNjBiYTY1M2RhXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,N/A,21 Dec 2007,True,86 min,Xuxa em Sonho de Menina,movie,Flávio de Souza,2007,tt1146300,1.4,148
11,"Nina Taylor, Steve Carroll, Kim Waters, Ann-Marie Doggett",N/A,UK,Kris Smith,,"Crime, Drama, Mystery",English,N/A,"A troubled young woman runs away from home, unaware from the outside world that she has been missing and presumed dead for 20 years.",http://ia.media-imdb.com/images/M/MV5BMjQwNjIyMDQ3MF5BMl5BanBnXkFtZTgwNzc2NDg1NzE@._V1_SX300.jpg,N/A,02 May 2016,True,101 min,Set Me Free: Vol. I,movie,"Laura Belcher (screenplay), Max Rudd (screenplay), Kris Smith (story)",2016,tt4238982,9.4,170
12,"George O'Brien, Claire Trevor, Greta Nissen, Francis Ford",N/A,USA,Louis King,,Western,English,N/A,N/A,N/A,N/A,07 Jul 1933,True,59 min,Life in the Raw,movie,"Stuart Anthony (adaptation), Zane Grey (novel)",1933,tt0024256,5.8,9
13,"Kakha Abuashvili, Misha Arobelidze, Temo Barbaqadze, Elguja Burduli",N/A,Georgia,Nikoloz Khomasuridze,,"Action, Fantasy, History",Georgian,N/A,"Story based on true and fiction events and includes some codes from the famous Kartvelian poem ""The Knight in the Tiger's Skin"" written by ""Shota Rustveli"" in the end of 12th century. Well known film producer Demetre Orbeli and his wife Elene visited his homeland Tbilisi, Sakartvelo in 11.11.11 which is the best day for time traveling in the past. In the hotel they were attacked by Nazi killers but were saved by Monk Warriors who bring them to unbosomed Giorgi's Castle. Giogri and Demetre travel in the past to find out the truth about the real descendant of the King and the facts which were hidden during the centuries. . .",http://ia.media-imdb.com/images/M/MV5BMTU3NDg3NjMzMV5BMl5BanBnXkFtZTcwNDY4NDExNQ@@._V1_SX300.jpg,NOT RATED,10 Apr 2013,True,110 min,The Forgotten King,movie,Nikoloz Khomasuridze (story and screenplay),2013,tt1773733,7.5,42
14,"Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell",Won 1 Oscar. Another 20 wins & 77 nominations.,"USA, UK",Marc Forster,,"Biography, Drama, Family",English,67,The story of J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNzYzNzUzMV5BMl5BanBnXkFtZTYwNjcwMjE3._V1_SX300.jpg,PG,17 Dec 2004,True,106 min,Finding Neverland,movie,"Allan Knee (play), David Magee (screenplay)",2004,tt0308644,7.8,"175,603"
15,"Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha",5 nominations.,USA,Tom Dey,,"Comedy, Romance",English,47,"At 35, Tripp has an interesting job, a hip car, a passion for sailing, and a great house - trouble is, he lives with his parents. They want him out, so they hire Paula, an ""interventionist,"" who has a formula in these cases: chance encounter, get him to ask her out, involve him in a trauma, meet his friends and get their nod, delay sex, have him teach her something, then launch him. It's worked up to now, but this gets complicated when Tripp thinks she's getting too serious and one of his pals is attracted to Paula's deadpan, semi-alcoholic roommate, who's plagued by a mockingbird. Too many secrets may scrub the launch, and what if Paula really likes him? Who can intervene then?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTc2MDQ3NV5BMl5BanBnXkFtZTcwNDUwMjEzMw@@._V1_SX300.jpg,PG-13,10 Mar 2006,True,97 min,Failure to Launch,movie,"Tom J. Astle, Matt Ember",2006,tt0427229,5.6,"58,915"
16,"Yuliya Vysotskaya, Evgeniy Mironov, Sultan Islamov, Stanislav Varkki",4 wins & 3 nominations.,"Russia, France",Andrey Konchalovskiy,,"Drama, Music, Romance","Chechen, Russian",52,"The war film that's not a war film. A film about the mental institution which backdrop is the Chechen war. A story about the patients living in an institution during the war on the border of Chechnia and Russia during the war. The patients have to continue living their day to day life after being invaded twice over, and they have to deal with their sicknesses.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzOTk3MDc5Nl5BMl5BanBnXkFtZTcwODUyMjAwMQ@@._V1_SX300.jpg,R,06 Dec 2002,True,104 min,House of Fools,movie,Andrey Konchalovskiy,2002,tt0332605,7.2,"2,311"
17,"Vinnie Jones, David Kelly, David Hemmings, Ralph Brown",N/A,"UK, USA",Barry Skolnick,,"Comedy, Crime, Drama",English,45,A soccer star jailed for assault leads a group of inmates in a match against prison guards.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2ODk0OTMyNF5BMl5BanBnXkFtZTcwMTcyMTMyMQ@@._V1_SX300.jpg,R,26 Dec 2001,True,99 min,Mean Machine,movie,"Tracy Keenan Wynn (earlier screenplay ""The Longest Yard""), Charlie Fletcher (screenplay), Chris Baker (screenplay), Andrew Day (screenplay)",2001,tt0291341,6.5,"29,629"
18,"Dwayne Hill, Ivan Sherry",N/A,Canada,"Daniel Hawes, Doug Sinclair",,"Animation, Adventure, Comedy",English,N/A,"The most fearsome, destructive insect in the galaxy has come to Earth, and famous swashbuckling entomologist Dex Hamilton is on the case. But he's not trying to stop it. He's trying to save it -- from the remorseless exterminator Hartley Hunter, whose life's mission is to see all bugs in the galaxy wiped out. It's a rollicking animated sci-fi adventure with legs as Dex Hamilton is all that stands between the forces of evil and the most incredible insect species the galaxy has ever known.",N/A,N/A,01 Sep 2012,True,76 min,Dex Hamilton and the Doomsday Swarm,movie,"Daniel Hawes (story), Doug Sinclair (story), Doug Sinclair",2012,tt2833788,5.0,5
19,"Xuxa Meneghel, Tadeu Mello, Luciano Huck, Guilherme Karan",N/A,Brazil,"Paulo Sérgio de Almeida, Rogério Gomes",,"Adventure, Comedy, Family",Portuguese,N/A,"A botany, environmentally friendly woman discovers she is part of a hidden and magical world inhabited by fairies and elves.",N/A,N/A,14 Dec 2001,True,90 min,Xuxa and the Elves,movie,"Vivian Perl, Wagner de Assis",2001,tt0294543,1.6,415
20,"Wallace Reid, Mary MacLaren, Theodore Roberts, Betty Francisco",N/A,USA,Phil Rosen,,"Action, Sport, Thriller",N/A,N/A,"An automobile manufacturer comes up with a low-priced but efficient new car. However, when he orders all of his employees to drive the car, his son Jimmy defies him and buys a car from his father's rival, Tyler, who makes expensive roadsters. However, he learns that Tyler plans to destroy one of his father's cars in an upcoming transcontinental race, and agrees to drive one of his father's cars in the next race, unaware that Tyler also has plans for both him and the car.",http://ia.media-imdb.com/images/M/MV5BOTQ5Njk3MDI4NF5BMl5BanBnXkFtZTgwNDIyNzk1MjE@._V1_SX300.jpg,N/A,07 Mar 1924,True,60 min,Across the Continent,movie,Byron Morgan,1922,tt0012877,4.2,10
21,"Linc Hand, Jackée Harry, Ace Hunter, Javier Lopez",N/A,USA,"Rhyan LaMarr, Jenn Pinto",,"Comedy, Drama, Romance",English,N/A,"The Dirty 30 follows 29 year-old Ricky Simmons (Sean Riggs) whose ex, Lisa, walked out on him with no explanation and broke his heart. Reeling from this crushing blow with no closure, Ricky's best friend Jessy (Giovanni Watson) pressure him to enter the dating world again. He finally agrees to let Jessy play matchmaker and falls for a beautiful woman, only to discover that she is a former escort Kaitlyn (alias Samantha Kimm) played by Nafessa Williams that had been hired by his trusted friend.",N/A,N/A,10 Jun 2014,True,85 min,The Dirty 30,movie,"Jenn Pinto, Jenn Pinto",2014,tt3884570,N/A,N/A
22,"Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck",Won 1 BAFTA Film Award. Another 5 wins.,"France, Italy",Henri-Georges Clouzot,,"Adventure, Drama, Thriller","French, English, Spanish, German, Italian, Russian",N/A,"In a decrepit South American village, men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MzkyNDgyMF5BMl5BanBnXkFtZTgwODg2MTMzMjE@._V1_SX300.jpg,NOT RATED,16 Feb 1955,True,131 min,The Wages of Fear,movie,"Georges Arnaud (novel), Henri-Georges Clouzot (adaptation), Jérôme Géronimi (adaptation)",1953,tt0046268,8.2,"35,833"
23,"Michael Ironside, Tahnee Welch, Currie Graham, Anne Marie DeLuise",N/A,Canada,Michael Storey,,"Crime, Mystery, Romance",English,N/A,"Sharon Avery is a blind woman who is having visions of murder. She ""sees"" children being killed and the face of a serial killer. Everyone around her, including the police are skeptical with the exception of one inspector who has fallen for her.Can she convince them in time to prevent any more murders, including her own?",N/A,N/A,23 May 1999,True,90 min,Black Light,movie,Vincent Monton,1999,tt0135164,4.5,152
24,Patricia Moore,N/A,USA,Wilton G. Beggs,,Western,English,N/A,N/A,N/A,N/A,24 Oct 1969,True,65 min,A Fistful of Rawhide,movie,N/A,1970,tt0218246,8.0,5
25,"Ennio Fantastichini, Isabella Ferrari, Giuseppe Cederna, Giulio Scarpati",3 nominations.,Italy,Massimo Guglielmi,,"Drama, Romance, War",Italian,N/A,"Genoa, 1945. The war is over but not for 4 partisans who still try to capture the remaining fascists. They are not satisfied with the concept of justice that the new born Italian Republic tries to instigate.",N/A,N/A,17 Sep 1992,True,N/A,Gangsters,movie,"Claudio Lizza (story), Claudio Lizza (screenplay), Federico Pacifici (screenplay)",1992,tt0104317,4.8,12
26,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo",3 nominations.,USA,Kinka Usher,,"Action, Comedy, Fantasy",English,65,A group of inept amateur superheroes must try to save the day when a supervillian threatens to destroy a major superhero and the city.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NjM0NTIzN15BMl5BanBnXkFtZTcwNTg4MjEyMQ@@._V1_SX300.jpg,PG-13,06 Aug 1999,True,121 min,Mystery Men,movie,"Neil Cuthbert, Bob Burden (creator: comic book series)",1999,tt0132347,6.0,"54,354"
27,"David T. Bamberg, Alfonso Bedoya, Roberto Cañedo, Cuquita Escobar",N/A,Mexico,René Cardona,,"Crime, Horror, Mystery",Spanish,N/A,N/A,N/A,N/A,N/A,True,77 min,La mujer sin cabeza,movie,"David T. Bamberg, René Cardona, Xavier Villaurrutia",1944,tt0221418,N/A,N/A
28,"Maksim Matusevich, Andrei Solovey, Aleksandr Frish, Vladimir Kremena",N/A,Soviet Union,Vladimir Bychkov,,"Family, Fantasy",Russian,N/A,N/A,N/A,N/A,N/A,True,73 min,Polyot v stranu chudovishch,movie,"Vladimir Golovanov, E. Skobelev (book)",1986,tt0273980,4.6,10
29,"Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya",6 wins & 11 nominations.,India,Anurag Kashyap,,"Comedy, Drama, Romance","Hindi, Panjabi, English, French, Tamil",N/A,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",https://images-na.ssl-images-amazon.com/images/M/MV5BYjU1NjczNzYtYmFjOC00NzkxLTg4YTUtNGYzMTk3NTU0ZDE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,N/A,06 Feb 2009,True,144 min,Dev D,movie,"Saratchandra Chatterjee (novel), Abhay Deol (concept), Vikramaditya Motwane, Anurag Kashyap",2009,tt1327035,8.1,"20,904"
30,"Dennis Cole, Geoffrey Deuel, Bob Haas, Allen Kirk",N/A,USA,Eddie Beverly Jr.,,Musical,English,N/A,"Various contestants gather at an ""amateur night"" contest, hoping to attract the attention of a talent scout sitting in the audience.",N/A,N/A,N/A,True,91 min,Amateur Night,movie,"Eddie Beverly Jr. (creator), Eddie Beverly Jr., Tom Dempsey",1986,tt0090625,5.9,9
31,"Ila Arun, Pankaj Berry, Nicolas Chagrin, Nalini Chatterjee",1 win.,India,Shyam Benegal,,"Biography, Drama, History",Hindi,N/A,"Born in a prominent Bengali family, Subhas had dedicated much of his younger years by being actively involved in ridding the British from India. For this purpose he joined hands with stalwarts such as Jawaharlal Nehru and Mohandas Gandhi, but expressed his frustration, especially with Gandhi's slow and painstaking way of trying to win over the enemy with love. It is for this reason, he decided to separate from the Congress Party. The British became weary of him, placed him under arrest, but when he started a hunger strike unto death, they let him go, but kept him under surveillance. Subhas eluded the police, under the guise of Pathan Mohammad Ziauddin, crossed the Indian border in Afghanistan so that he could enter Russia and form an Indian Army to oust the British. His efforts failed, he ended up as Italian Orlando Mashtar, with an office in Germany. He did manage to convince the Nazis, despite of Hitler's views in ""Main Kempf"" that he preferred India to remain colonized under the British. Nevertheless he was permitted recruit Indian-born British soldiers prisoners of war, and this is how the movement began. He secretly married his German Secretary, Emily Sanken, and did earn the ire of the Germans, who wanted to keep their race pure (Caucasian). His efforts to take his army to India through Russia and Afghanistan were in vain as Adolf Hitler declared war on Russia. Leaving his German-based army, Subhas journeyed to Singapore via a submarine, from there he entered into an agreement with the Japanese. And it was with the help of the Japanese that he marched an army of approximately 8000 troops, both men and women, against the might of the British. It was here that he was informed that he had become the father of Anita. Then, fate again played a cruel hand, when America entered the war, atom-bombed Hiroshima and Nagasaki, forcing Japan to surrender unconditionally. At this point, Subhas had two alternatives: to carry on fighting against the British and their new allies, Australia and America, or just disband his army.",http://ia.media-imdb.com/images/M/MV5BNDMyYmY4N2UtNzk2Ny00ZjE5LWI0YTEtOWVhYjYwNTMxMWNhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,N/A,13 May 2005,True,208 min,Netaji Subhas Chandra Bose: The Forgotten Hero,movie,"Atul Tiwari, Shama Zaidi",2005,tt0349878,7.5,590
32,"Johnny Downs, Gale Storm, Robert Lowery, Douglas Leavitt",N/A,USA,Arthur Dreifuss,,"Comedy, Music, Romance",English,N/A,"Radio singer Joan Abbott, known as the ""Crunchy-Wunchy Thrush"", does not want to renew her contract with the cereal sponsor, as she wants to go to college. Her Uncle Willie signs it for her, however, as she is under age. Taking the name and credentials of Susie Smith, the secretary of her employer, Hartman, she disappears and enrolls at Rawley College. There she meets Buzz, leading a college band, and Scoop, running a college newspaper, who induces her to become a reporter. The Crunchy-Wunchy company institute a search for Joan via a publicity stunt, and Scoop assigns Joan to write an editorial against this kind of bad publicity. The Abernathy Products Company institutes a nation-wide contest to find the best college band, and Rawley College is entered, with Babs, the band's soloist, coached by Joan. Cynthia, girl friend of Buzz, is jealous of Joan, suspects she is the missing ""Crunchy-Wunchy Thrush"" and notifies Uncle Willie. The night of the nation-wide band-contest broadcast, Babs gets sick, Joan replaces her... and the Monogram musical formula-finale begins.",http://ia.media-imdb.com/images/M/MV5BMTc4NjgzMzUzNl5BMl5BanBnXkFtZTgwNTYxNzk1MDE@._V1_SX300.jpg,APPROVED,19 Nov 1943,True,63 min,Campus Rhythm,movie,"Charles R. Marion (screenplay), Ewart Adamson (original story), Jack Palmer White (original story), Albert Beich (additional dialogue), Frank Tarloff (additional dialogue)",1943,tt0035710,5.8,94
33,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",Won 3 Oscars. Another 234 wins & 312 nominations.,"USA, UK",Steve McQueen,,"Biography, Drama, History",English,97,"Based on an incredible true story of one man's fight for survival and freedom. In the pre-Civil War United States, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty (personified by a malevolent slave owner, portrayed by Michael Fassbender), as well as unexpected kindnesses, Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon's chance meeting with a Canadian abolitionist (Brad Pitt) will forever alter his life.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,R,08 Nov 2013,True,134 min,12 Years a Slave,movie,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)",2013,tt2024544,8.1,"448,530"
34,"Chieko Baishô, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin",Nominated for 1 Oscar. Another 16 wins & 18 nominations.,Japan,Hayao Miyazaki,,"Animation, Adventure, Family",Japanese,80,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_SX300.jpg,PG,17 Jun 2005,True,119 min,Howl's Moving Castle,movie,"Hayao Miyazaki (screenplay), Diana Wynne Jones (novel)",2004,tt0347149,8.2,"218,329"
35,"Angelu De Leon, Diether Ocampo, Tessie Tomas, Marianne de la Riva",1 nomination.,Philippines,Jose Javier Reyes,,"Drama, Romance","Tagalog, Filipino",N/A,N/A,N/A,N/A,21 Jun 2000,True,110 min,Bukas na lang kita mamahalin,movie,Jose Javier Reyes,2000,tt0346671,5.8,5
36,"Olivier Martinez, Michelle Forbes, Assumpta Serna, Donnie Wahlberg",1 nomination.,USA,Rune Bendixen,,"Action, Fantasy, Western",English,N/A,A man on the run is surprised to learn that he is a Knights Templar and that his girlfriend is a holy virgin about to give birth to a very special baby on Christmas Day.,http://ia.media-imdb.com/images/M/MV5BMTUzMjAwMzE2Ml5BMl5BanBnXkFtZTcwODc2ODcyMQ@@._V1_SX300.jpg,R,22 Apr 2003,True,90 min,Bullfighter,movie,"Rune Bendixen (story), Rune Bendixen (screenplay), Majken Gilmartin (screenplay), L.M. Kit Carson (adapted by), Hunter Carson (adapted by)",2000,tt0176579,2.4,352
37,"Wally West, Tanya Beauford, Franklyn Farnum, Bill Patton",N/A,USA,Victor Adamson,,Western,English,N/A,"Reissued in 1941 as ""Mormon Conquest"", this bottom-of-the-barrel entry from Victor Adamson/Art Mix/Denver Dixon productions finds jobless cowpuncher Jim Kirk riding into Cottonwood, Arizona looking for the man who swindled his father. Old pal Art James tells him that Ed Calder, a shady rancher who moved in a few months ago, might be his man. Jim joins Art at the Crazy K Ranch owned by Sam Kent and his daughter Sally, with Bill Dobbs as their foreman. Jim saves Sally from badman Lynx Merson, who is out to get her father for past transgressions. Later, it is discovered that El Garto, a bandit from below the border, is actually Merson, and is working with Calder.",N/A,Approved,02 Feb 1935,True,55 min,Desert Mesa,movie,Victor Adamson,1935,tt0026272,2.7,21
38,"Uli Auliani, Ratu Felisha, Rozie Mahally, Rommy Ravalzi",N/A,Indonesia,Nayato Fio Nuala,,"Horror, Thriller",Indonesian,N/A,N/A,N/A,N/A,29 Jul 2010,True,75 min,Nakalnya anak muda,movie,Farah Mandala,2010,tt1718842,2.4,10
39,"Javier Cámara, Darío Grandinetti, Leonor Watling, Rosario Flores",Won 1 Oscar. Another 42 wins & 42 nominations.,Spain,Pedro Almodóvar,,"Drama, Mystery, Romance",Spanish,86,"After a chance encounter at a theater, two men, Benigno and Marco, meet at a private clinic where Benigno works. Lydia, Marco's girlfriend and a bullfighter by profession, has been gored and is in a coma. It so happens that Benigno is looking after another woman in a coma, Alicia, a young ballet student. The lives of the four characters will flow in all directions, past, present and future, dragging all of them towards an unsuspected destiny.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDlmZWVjMGMtYWM4Mi00ZjUwLTkwZDMtM2FjZjIwYzY0YjkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,14 Feb 2003,True,112 min,Talk to Her,movie,Pedro Almodóvar,2002,tt0287467,8.0,"87,396"
40,"Jared Egusa, Diana Lu, Geo Lee, David Lautman",N/A,USA,Jeff Fong,,"Comedy, Drama",English,N/A,"This film is about an awkward, kind-hearted boy named Ru, who is amidst a horrible amount of family pressure. As his 21st birthday approaches, Ru's family of assassins are demanding that he assassinates a target, or else they will kill him instead.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMjExOTA3MF5BMl5BanBnXkFtZTgwMjQyMDE2MDE@._V1_SX300.jpg,N/A,30 Aug 2014,True,97 min,Ru,movie,Jeff Fong,2014,tt2982542,8.5,12
41,"Evi Marandi, Little Tony, Akim Tamiroff, Oreste Palella",N/A,"Italy, Spain",Emimmo Salvi,,"Comedy, Crime, Musical",Italian,N/A,N/A,N/A,N/A,06 Oct 1966,True,90 min,Un gangster venuto da Brooklyn,movie,"Benito Ilforte, Joaquín Romero Hernández (screenplay), Joaquín Romero Hernández (story), Emimmo Salvi, Sergio Tocci, Raniero di Giovanbattista",1966,tt0063040,4.7,6
42,"Margrét Vilhjálmsdóttir, Hinrik Ólafsson",1 nomination.,Iceland,"Jóakim Reynisson, Lýður Árnason",,"Drama, Mystery, Romance",Icelandic,N/A,N/A,N/A,N/A,26 Dec 2001,True,N/A,In the Arm of the Sea,movie,N/A,2001,tt0316955,7.2,10
