,id,random
253,tt0079588,16
254,tt6099760,56
255,tt0037598,15
256,tt0189404,75
257,tt0121164,75
258,tt0089911,90
259,tt1559016,5
260,tt1559017,50
261,tt1593747,11
262,tt0339056,2
263,tt0258186,25
264,tt1392214,18
265,tt1284996,43
266,tt0185955,60
267,tt0361061,59
268,tt3557580,80
269,tt0301085,5
270,tt0301083,46
271,tt0301082,45
272,tt5249850,65
273,tt0283632,15
274,tt2387710,66
275,tt0202566,63
276,tt0090036,60
277,tt0311113,72
278,tt0060716,9
279,tt0212881,81
280,tt3673000,78
281,tt4280824,81
282,tt0031473,1
283,tt0051011,77
284,tt1330985,22
285,tt2921178,20
286,tt0041862,42
287,tt0253474,23
288,tt0041869,71
289,tt0268706,88
290,tt0033654,70
291,tt0418763,75
292,tt0060574,9
293,tt1053284,98
294,tt1858770,6
295,tt2056567,37
296,tt0277558,32
297,tt0384369,5
298,tt0067763,5
299,tt0204161,64
300,tt2006148,14
301,tt1319032,91
302,tt5406460,25
303,tt3777204,75
304,tt4771706,93
305,tt4130788,44
306,tt0022953,42
307,tt0029965,47
308,tt1285245,29
309,tt0110912,73
310,tt0317210,75
311,tt5945946,75
312,tt0317219,80
313,tt0163278,76
314,tt0861689,2
315,tt0407265,52
316,tt0063000,99
317,tt1294645,76
318,tt0052097,85
319,tt3627782,72
320,tt5078390,45
321,tt4505314,54
322,tt4885916,91
323,tt0087925,55
324,tt0098707,11
325,tt0103841,8
326,tt2505818,23
327,tt1934166,0
328,tt0048484,32
329,tt0106364,57
330,tt1773522,38
331,tt0350204,61
332,tt0445095,26
333,tt1545503,83
334,tt0295659,36
335,tt0297242,73
336,tt0405159,85
337,tt0057115,31
338,tt0253779,17
339,tt0035080,55
340,tt0057111,60
341,tt0148482,77
342,tt1296464,28
343,tt0017115,16
344,tt3904372,11
345,tt0130121,33
346,tt1977844,42
347,tt0120177,76
348,tt0114558,25
349,tt0141399,4
350,tt1245678,84
351,tt0471093,60
352,tt1455193,69
353,tt2111255,19
354,tt0450188,45
355,tt1699147,25
356,tt1609147,8
357,tt0061765,5
358,tt0044954,87
359,tt5219156,36
360,tt0478311,81
361,tt1490726,4
362,tt1485096,47
363,tt5946852,73
364,tt1993396,1
365,tt0171363,38
366,tt4086722,57
367,tt0005939,41
368,tt1016184,78
369,tt0116772,9
370,tt0036855,48
371,tt2008457,81
372,tt0325710,95
373,tt0037101,31
374,tt0436567,39
375,tt0439659,37
376,tt0222426,15
377,tt0086489,46
378,tt0793572,33
379,tt0116483,95
380,tt0020323,3
381,tt1521655,79
382,tt1074638,26
383,tt0228237,36
384,tt0134847,55
385,tt0023367,98
386,tt0023366,64
387,tt0393162,26
388,tt0428806,53
389,tt0166813,60
390,tt0075703,73
391,tt0314505,71
392,tt0072316,49
393,tt0248112,44
394,tt0346911,18
395,tt4458206,42
396,tt0032828,43
397,tt4876928,49
398,tt2575290,78
399,tt2181912,67
400,tt2416376,83
401,tt3093764,26
402,tt5047424,75
403,tt3719320,40
404,tt0116950,27
405,tt0419684,15
406,tt0259392,58
407,tt0082334,72
408,tt0332318,96
409,tt0456007,34
410,tt0119282,56
411,tt0363771,8
412,tt1810793,3
413,tt0089457,64
414,tt0156791,51
415,tt0217805,20
416,tt5774920,87
417,tt0225505,41
418,tt1431240,24
419,tt2909124,25
420,tt4536768,98
421,tt0392760,91
422,tt1187007,64
423,tt0311305,54
424,tt2670556,22
425,tt0076113,85
426,tt1242457,79
427,tt0105585,84
428,tt0047096,61
429,tt1714148,21
430,tt0051207,18
431,tt0067002,69
432,tt2630930,30
433,tt0316955,78
434,tt0281286,95
435,tt0466977,74
436,tt1204342,64
437,tt1711533,3
438,tt0043733,50
439,tt0810913,76
440,tt3884570,24
441,tt0384116,92
442,tt0368891,85
443,tt3837162,60
444,tt0219781,16
445,tt0004223,71
446,tt0035140,29
447,tt0243004,95
448,tt1328865,58
449,tt1505127,66
450,tt0123881,18
451,tt0468569,36
452,tt0127504,41
453,tt0364569,85
454,tt2103222,67
455,tt0110357,32
456,tt1355615,43
457,tt0038046,32
458,tt1588173,81
459,tt0279985,88
460,tt0307246,15
461,tt0028999,52
462,tt0077199,85
463,tt1139797,94
464,tt1715362,67
465,tt0183306,95
466,tt0186151,6
467,tt0042061,42
468,tt3262718,93
469,tt0848228,55
470,tt2924472,70
471,tt2015381,57
472,tt1844777,29
473,tt0058208,39
474,tt1352406,94
475,tt0412798,63
476,tt0058205,98
477,tt0242355,16
478,tt1628055,9
479,tt4515722,68
480,tt3477070,62
481,tt1352396,30
482,tt2057487,65
483,tt0207434,52
484,tt2051886,99
485,tt2281251,11
486,tt0091763,43
487,tt2550300,10
488,tt0237643,90
489,tt4472100,22
490,tt0269492,42
491,tt0180306,53
492,tt2371281,20
493,tt0101583,73
494,tt0113198,65
495,tt2400666,92
496,tt5545470,90
497,tt0339034,72
498,tt0078477,96
499,tt0419165,45
500,tt0185937,98
501,tt3573138,81
502,tt3333920,10
503,tt0255284,8
504,tt0024507,35
505,tt0298765,38
506,tt5303564,44
507,tt0101761,30
508,tt0283616,69
509,tt3385270,82
510,tt0252622,71
511,tt0086540,43
512,tt0086541,65
513,tt0455326,54
514,tt0212860,52
515,tt0254481,37
516,tt0170795,31
517,tt0054265,86
518,tt0048805,96
519,tt0054262,78
520,tt0051565,61
521,tt2602338,17
522,tt1753912,93
523,tt0041801,39
524,tt0033674,23
525,tt1647467,72
526,tt0383177,44
527,tt0108258,43
528,tt2282058,23
529,tt0156160,93
530,tt3437164,25
531,tt0276150,24
532,tt0201123,54
533,tt4661128,57
534,tt3968634,85
535,tt0964529,73
536,tt0409938,79
537,tt0248329,21
538,tt2353925,87
539,tt2304933,6
540,tt2378470,30
541,tt3729774,0
542,tt0317234,17
543,tt3466380,80
544,tt2307008,77
545,tt0367495,29
546,tt0363983,43
547,tt0016844,30
548,tt0043123,48
549,tt0063023,38
550,tt0358267,35
551,tt0042657,3
552,tt0235340,37
553,tt0026903,30
554,tt0441516,35
555,tt1019960,30
556,tt0043386,60
557,tt0111161,41
558,tt3748466,29
559,tt0250950,25
560,tt5314520,69
561,tt0127975,27
562,tt0109348,69
563,tt0082925,29
564,tt1087562,11
565,tt0231118,99
566,tt4548650,21
567,tt2077886,78
568,tt0084787,54
569,tt2777190,95
570,tt1034324,40
571,tt0253754,80
572,tt1247655,11
573,tt1369677,11
574,tt1582244,73
575,tt4263780,81
576,tt0284083,88
577,tt0284086,91
578,tt0019971,33
579,tt0053694,22
580,tt1800241,57
581,tt0045004,31
582,tt3467522,2
583,tt6035470,43
584,tt0247911,16
585,tt0068161,10
586,tt0061743,26
587,tt1573478,34
588,tt0246062,70
589,tt0007518,42
590,tt5449390,17
591,tt0321299,76
592,tt2290749,95
593,tt0475224,93
594,tt5057626,61
595,tt4093860,64
596,tt2354577,39
597,tt4679502,19
598,tt0206113,46
599,tt0280148,26
600,tt3564122,50
601,tt1143095,22
602,tt0250223,91
603,tt0083258,2
604,tt0099385,62
605,tt1248882,75
606,tt0294798,73
607,tt1313257,86
608,tt0305711,75
609,tt0305716,77
610,tt0117002,98
611,tt2229359,20
612,tt4303202,78
613,tt0085959,48
614,tt3474788,98
615,tt1469387,59
616,tt0030664,25
617,tt0076864,74
618,tt2022562,36
619,tt5271442,50
620,tt0041123,78
621,tt0089894,83
622,tt1336103,55
623,tt1399017,97
624,tt0118715,86
625,tt0040525,15
626,tt0050574,83
627,tt0050577,38
628,tt0090714,94
629,tt0371746,37
630,tt0082314,24
631,tt0019023,11
632,tt0017860,63
633,tt4045414,95
634,tt0262355,9
635,tt1943782,30
636,tt0386669,1
637,tt1956657,14
638,tt1928334,33
639,tt0173682,59
640,tt1706686,40
641,tt0392748,16
642,tt0267650,82
643,tt1996429,82
644,tt3419324,36
645,tt1576385,49
646,tt1186370,39
647,tt0461703,8
648,tt0033704,63
649,tt0031756,78
650,tt0283390,10
651,tt0096411,25
652,tt0039529,12
653,tt1085806,38
654,tt0088258,65
655,tt2196091,37
656,tt3646058,65
657,tt0048525,24
658,tt5600714,0
659,tt0064940,74
660,tt1326190,75
661,tt0228853,86
662,tt0097839,31
663,tt0056166,17
664,tt1258972,83
665,tt1621809,30
666,tt0334192,10
667,tt0203519,60
668,tt0238668,79
669,tt5777338,44
670,tt0990374,87
671,tt3769594,40
672,tt1355630,38
673,tt0046294,5
674,tt0458972,81
675,tt2265113,10
676,tt1355638,15
677,tt0072901,5
678,tt0046299,53
679,tt3218052,25
680,tt0012739,76
681,tt0411759,14
682,tt0069534,21
683,tt2265116,68
684,tt0257441,83
685,tt1685584,2
686,tt0068486,63
687,tt0179955,38
688,tt0242193,60
689,tt0289043,7
690,tt0286813,86
691,tt0042041,52
692,tt0092820,53
693,tt0084048,73
694,tt0105511,22
695,tt2055781,41
696,tt0878804,44
697,tt1780924,89
698,tt1613874,94
699,tt0216019,49
700,tt2727882,28
701,tt2008553,11
702,tt5282110,3
703,tt1720161,98
704,tt1720164,19
705,tt3834906,90
706,tt0095606,90
707,tt0095601,42
708,tt0092922,45
709,tt5774688,25
710,tt0033870,98
711,tt3862704,5
712,tt0074194,96
713,tt2571362,72
714,tt0238982,47
715,tt0079817,12
716,tt0208997,36
717,tt0995039,87
718,tt0202393,36
719,tt0071101,36
720,tt0995031,27
721,tt0038669,11
722,tt3576858,64
723,tt0434409,33
724,tt0955411,28
725,tt1995260,57
726,tt0086393,13
727,tt0004164,32
728,tt0119008,64
729,tt2557490,34
730,tt3906002,13
731,tt1332097,94
732,tt1375666,7
733,tt0240135,99
734,tt0059578,26
735,tt0336773,2
736,tt0050904,41
737,tt0050907,41
738,tt0402606,32
739,tt0209144,59
740,tt3595744,45
741,tt5810240,2
742,tt0031927,9
743,tt0119654,29
744,tt0426931,32
745,tt5050842,23
746,tt0808506,1
747,tt0049468,89
748,tt0108508,43
749,tt2710226,52
750,tt5686868,62
751,tt2258399,44
752,tt0158983,31
753,tt0369649,41
754,tt0044398,34
755,tt0426060,70
756,tt0845527,39
757,tt2137584,87
758,tt5819280,53
759,tt0165433,62
760,tt5368302,31
761,tt1483013,93
762,tt1373452,22
763,tt4700248,76
764,tt0099582,91
765,tt0256276,75
766,tt0400600,45
767,tt3111858,23
768,tt1125849,86
769,tt0348493,68
770,tt0056570,53
771,tt0104868,26
772,tt0136514,2
773,tt0109108,47
774,tt0030341,5
775,tt0167261,47
776,tt0167260,23
777,tt2113091,91
778,tt0214878,49
779,tt3623510,49
780,tt4660276,90
781,tt0367136,67
782,tt3230852,59
783,tt2243469,98
784,tt0084236,71
785,tt4430212,98
786,tt3488710,28
787,tt1409831,68
788,tt3910172,93
789,tt0454824,34
790,tt0039420,8
791,tt1798684,37
792,tt0231138,50
793,tt2386502,39
794,tt1976600,43
795,tt1390470,47
796,tt1986148,52
797,tt0019644,50
798,tt0102130,14
799,tt1010048,12
800,tt3959690,74
801,tt4269500,37
802,tt4858362,94
803,tt0045027,21
804,tt0109813,41
805,tt5641696,71
806,tt0043505,44
807,tt1697696,97
808,tt0094074,46
809,tt0496558,29
810,tt5519250,30
811,tt0436697,24
812,tt5932546,20
813,tt0113277,26
814,tt1981677,16
815,tt1080016,43
816,tt0033998,58
817,tt0142248,79
818,tt1675434,39
819,tt0164184,53
820,tt0342962,12
821,tt0285401,71
822,tt1401621,70
823,tt2070831,23
824,tt0191275,26
825,tt4550436,14
826,tt0110892,57
827,tt1185232,32
828,tt0050685,73
829,tt0073869,31
830,tt0061477,49
831,tt0141573,92
832,tt0895777,32
833,tt0078805,44
834,tt1961143,20
835,tt5595168,20
836,tt0064127,13
837,tt0075163,92
838,tt4691334,40
839,tt0280518,67
840,tt0245501,63
841,tt3848586,99
842,tt3456012,93
843,tt1183890,64
844,tt0122559,43
845,tt3633032,38
846,tt2833788,71
847,tt1843957,71
848,tt0178767,74
849,tt0096223,6
850,tt0132347,66
851,tt2567712,59
852,tt0095033,22
853,tt3564858,50
854,tt1669617,84
855,tt0030424,85
856,tt3078950,55
857,tt0359078,84
858,tt0116995,27
859,tt0167456,46
860,tt0443543,37
861,tt3080240,90
862,tt0277909,6
863,tt4301200,2
864,tt0071713,43
865,tt2806870,66
866,tt0368709,50
867,tt0026008,47
868,tt2451666,17
869,tt3555534,44
870,tt0059742,26
871,tt0369258,84
872,tt0190114,64
873,tt0097170,29
874,tt2388755,85
875,tt1278074,41
876,tt0125147,14
877,tt0060258,88
878,tt2181959,83
879,tt0040500,27
880,tt1561412,29
881,tt3468824,61
882,tt0093886,86
883,tt1340694,15
884,tt0105812,49
885,tt0061814,63
886,tt2262640,97
887,tt0031770,89
888,tt0933008,42
889,tt0055076,3
890,tt0102636,98
891,tt0215225,66
892,tt0068853,6
893,tt0046903,19
894,tt0499524,67
895,tt1509130,56
896,tt0049105,57
897,tt0363880,99
898,tt0386134,50
899,tt1784629,86
900,tt5144770,20
901,tt3522198,46
902,tt5540086,2
903,tt5126792,40
904,tt0376968,20
905,tt1051907,77
906,tt0139831,43
907,tt0192295,14
908,tt1037116,86
909,tt1161405,57
910,tt0128276,52
911,tt2909932,98
912,tt0204250,85
913,tt0274371,18
914,tt1300854,81
915,tt0072435,38
916,tt4882750,37
917,tt4053842,60
918,tt5510934,57
919,tt0477647,21
920,tt0058593,53
921,tt0007942,85
922,tt0064785,94
923,tt0350651,4
924,tt1235837,11
925,tt1235836,53
926,tt0038886,56
927,tt0038887,12
928,tt0092844,52
929,tt0020681,43
930,tt0084065,58
931,tt1429433,34
932,tt4813152,98
933,tt0039689,85
934,tt0269300,97
935,tt5004422,77
936,tt0032103,65
937,tt0096030,66
938,tt1851046,6
939,tt1409024,12
940,tt0032455,91
941,tt0320661,69
942,tt1136608,19
943,tt0032452,44
944,tt0976146,51
945,tt4278144,90
946,tt0264508,17
947,tt2091864,18
948,tt4954968,42
949,tt0819714,76
950,tt4934506,54
951,tt3391348,53
952,tt0374627,20
953,tt2945250,2
954,tt3020986,66
955,tt3277072,44
956,tt0448017,35
957,tt0165130,29
958,tt3605262,40
959,tt0036378,47
960,tt3257846,51
961,tt3341638,78
962,tt0189973,55
963,tt0360399,93
964,tt0775440,63
965,tt0021114,69
966,tt0054047,45
967,tt0054737,81
968,tt0374480,70
969,tt1057500,96
970,tt0059517,92
971,tt0249364,83
972,tt5234462,76
973,tt2643408,79
974,tt0271946,66
975,tt1981115,56
976,tt0086502,42
977,tt0303267,20
978,tt0328327,87
979,tt0806010,36
980,tt2041374,82
981,tt0119856,24
982,tt0432325,12
983,tt2523934,33
984,tt2381957,77
985,tt0361809,52
986,tt0026761,27
987,tt5864950,43
988,tt0310595,49
989,tt4473356,24
990,tt0051745,86
991,tt0075447,27
992,tt0023042,61
993,tt0038768,43
994,tt0050439,6
995,tt0054953,21
996,tt0063200,24
997,tt1122587,94
998,tt4717534,66
999,tt0058605,51
1000,tt0173783,8
1001,tt3711164,95
1002,tt0252223,22
1003,tt1693110,87
1004,tt1648062,11
1005,tt4665360,41
1006,tt0481572,21
1007,tt0261102,35
1008,tt5888238,41
1009,tt0094997,43
1010,tt0457430,45
1011,tt4764380,66
1012,tt1620933,57
1013,tt4430270,1
1014,tt3028180,55
1015,tt1460650,71
1016,tt0281364,93
1017,tt3025936,8
1018,tt0312962,79
1019,tt0818095,42
1020,tt0111255,3
1021,tt3795628,71
1022,tt0193355,44
1023,tt0309750,44
1024,tt2071567,76
1025,tt1068773,79
1026,tt0028096,48
1027,tt3611052,73
1028,tt3340870,55
1029,tt0316502,60
1030,tt0100141,44
1031,tt0043697,93
1032,tt2719094,68
1033,tt2204618,84
1034,tt0135843,2
1035,tt4786222,33
1036,tt1707800,95
1037,tt0031011,95
1038,tt2922740,54
1039,tt1239276,68
1040,tt0052072,25
1041,tt1843309,24
1042,tt2779770,46
1043,tt1700468,89
1044,tt0497991,11
1045,tt0109830,69
1046,tt0029222,52
1047,tt1170358,86
1048,tt0049938,13
1049,tt0340013,56
1050,tt0052383,17
1051,tt0042924,82
1052,tt1817684,55
1053,tt3601558,89
1054,tt0264754,54
1055,tt0365847,90
1056,tt3903480,67
1057,tt0274748,9
1058,tt1981617,84
1059,tt0142260,36
1060,tt0035710,37
1061,tt0381168,99
1062,tt0083295,47
1063,tt2927212,99
1064,tt0483785,3
1065,tt4280756,38
1066,tt5128712,51
1067,tt2345112,94
1068,tt0284595,84
1069,tt6043054,93
1070,tt0181821,11
1071,tt0078358,69
1072,tt0073849,5
1073,tt0117041,40
1074,tt1220719,47
1075,tt0068696,37
1076,tt0044314,62
1077,tt0068699,30
1078,tt1632708,58
1079,tt0075143,63
1080,tt0075148,21
1081,tt0153509,8
1082,tt0053039,20
1083,tt1352765,51
1084,tt0986264,7
1085,tt2358919,82
1086,tt0030627,31
1087,tt2353755,73
1088,tt0036747,8
1089,tt2191721,13
1090,tt0032843,60
1091,tt2935476,36
1092,tt0095016,11
1093,tt0445922,38
1094,tt0816711,5
1095,tt0202452,46
1096,tt3540136,16
1097,tt0373247,24
1098,tt0055380,30
1099,tt2215954,92
1100,tt3520022,23
1101,tt0369018,14
1102,tt0169102,32
1103,tt1691016,25
1104,tt1482246,20
1105,tt2078549,73
1106,tt3796898,68
1107,tt0014733,77
1108,tt0481141,30
1109,tt0265830,3
1110,tt2116909,96
1111,tt5674554,88
1112,tt3122436,52
1113,tt3037586,32
1114,tt2096673,71
1115,tt1921071,63
1116,tt0104120,80
1117,tt3566740,89
1118,tt0093983,15
1119,tt0093315,62
1120,tt1337672,77
1121,tt1149394,9
1122,tt0356770,50
1123,tt1056463,0
1124,tt0043066,85
1125,tt1753729,55
1126,tt0215750,67
1127,tt0046927,4
1128,tt6066948,31
1129,tt1820678,89
1130,tt0184703,55
1131,tt0421051,46
1132,tt0421054,91
1133,tt1785554,22
1134,tt2423176,11
1135,tt0230141,61
1136,tt1433540,63
1137,tt0088747,97
1138,tt0364725,22
1139,tt4662934,59
1140,tt0088748,4
1141,tt0429589,33
1142,tt2131532,32
1143,tt0056125,65
1144,tt4526630,52
1145,tt0480239,80
1146,tt0156487,29
1147,tt0050825,66
1148,tt0076175,4
1149,tt0098043,61
1150,tt1225899,65
1151,tt0057836,84
1152,tt1259227,48
1153,tt0128299,61
1154,tt1577072,20
1155,tt0025700,13
1156,tt4177080,71
1157,tt0110445,97
1158,tt1876517,75
1159,tt3046080,67
1160,tt2794560,70
1161,tt0163086,41
1162,tt0367587,98
1163,tt0080571,1
1164,tt5095552,3
1165,tt0831887,93
1166,tt6103962,65
1167,tt4982390,31
1168,tt0042551,13
1169,tt0052719,76
1170,tt0042005,6
1171,tt0046076,10
1172,tt3556394,20
1173,tt1361843,5
1174,tt0926764,72
1175,tt2504514,71
1176,tt0426592,8
1177,tt0080716,34
1178,tt0430779,38
1179,tt0087928,92
1180,tt0130281,96
1181,tt1781922,5
1182,tt3011932,93
1183,tt0284100,48
1184,tt0016560,25
1185,tt1315981,4
1186,tt3263160,0
1187,tt0457920,6
1188,tt0311565,23
1189,tt0202604,36
1190,tt5981284,70
1191,tt0297411,55
1192,tt0080487,24
1193,tt0390341,37
1194,tt1711484,94
1195,tt1837521,78
1196,tt2543490,48
1197,tt0093185,54
1198,tt0107048,89
1199,tt0844012,54
1200,tt0009766,46
1201,tt0052311,11
1202,tt0021133,77
1203,tt1992148,28
1204,tt4111168,2
1205,tt0091256,16
1206,tt3311564,5
1207,tt0462504,70
1208,tt4738892,99
1209,tt2760890,11
1210,tt3266366,65
1211,tt1139665,76
1212,tt1312974,53
1213,tt0094889,40
1214,tt1255873,42
1215,tt0079501,54
1216,tt0020080,66
1217,tt0041312,69
1218,tt3852484,41
1219,tt5446460,41
1220,tt5592250,54
1221,tt0113755,39
1222,tt0418279,24
1223,tt0108549,70
1224,tt0076416,76
1225,tt2361150,87
1226,tt0044127,89
1227,tt1321511,6
1228,tt0070109,12
1229,tt0075467,12
1230,tt0368008,70
1231,tt0124766,9
1232,tt4020052,0
1233,tt2512204,5
1234,tt0314009,2
1235,tt5675016,38
1236,tt0008144,85
1237,tt2823886,60
1238,tt0218041,14
1239,tt3711140,73
1240,tt0178269,67
1241,tt0049578,94
1242,tt0095800,5
1243,tt5200736,96
1244,tt3628704,0
1245,tt0093125,33
1246,tt1883126,78
1247,tt1537920,44
1248,tt3920094,25
1249,tt2585078,83
1250,tt5994790,50
1251,tt0028709,95
1252,tt0175750,61
1253,tt1019906,0
1254,tt0944961,41
1255,tt0193373,49
1256,tt0325575,90
1257,tt0031381,60
1258,tt0062687,7
1259,tt4077382,33
1260,tt0363290,14
1261,tt0012877,41
1262,tt4272416,79
1263,tt0016358,57
1264,tt4562030,68
1265,tt0057193,36
1266,tt5032468,5
1267,tt1099200,25
1268,tt5240178,34
1269,tt0314679,43
1270,tt1099204,9
1271,tt5762190,72
1272,tt5891144,22
1273,tt0350028,59
1274,tt4185488,0
1275,tt0240940,21
1276,tt2238936,96
1277,tt3982558,58
1278,tt0331711,14
1279,tt0109859,92
1280,tt0029475,23
1281,tt2027140,16
1282,tt3797934,64
1283,tt0496595,26
1284,tt0231171,12
1285,tt0038769,77
1286,tt2233927,64
1287,tt1428448,18
1288,tt0430431,82
1289,tt0046446,99
1290,tt0110631,33
1291,tt2085930,62
1292,tt0345425,62
1293,tt1653064,84
1294,tt2363385,10
1295,tt0054367,68
1296,tt5556766,8
1297,tt0312528,51
1298,tt0018243,41
1299,tt5120292,95
1300,tt0238552,94
1301,tt2375585,52
1302,tt0082892,81
1303,tt0113234,48
1304,tt5119048,11
1305,tt0202292,55
1306,tt2358937,94
1307,tt1353125,58
1308,tt0472043,99
1309,tt2279373,90
1310,tt2136922,78
1311,tt2567026,13
1312,tt4959068,37
1313,tt2271581,2
1314,tt0299112,8
1315,tt0296604,9
1316,tt0428081,22
1317,tt0360214,17
1318,tt2431576,93
1319,tt2345539,98
1320,tt0055368,97
1321,tt2988546,18
1322,tt0337711,9
1323,tt0189727,95
1324,tt0319604,21
1325,tt0065489,16
1326,tt0073442,65
1327,tt1587865,55
1328,tt4869132,65
1329,tt1278035,4
1330,tt0204597,73
1331,tt5000686,44
1332,tt3340000,82
1333,tt1561457,73
1334,tt0118806,64
1335,tt0040239,88
1336,tt0060218,48
1337,tt0388795,7
1338,tt0048090,54
1339,tt1853646,31
1340,tt0358349,45
1341,tt0119314,58
1342,tt0137094,14
1343,tt0332280,85
1344,tt5190958,99
1345,tt0808357,93
1346,tt0048600,63
1347,tt4161380,74
1348,tt0210920,61
1349,tt4117510,31
1350,tt1132132,38
1351,tt4180290,33
1352,tt0233464,43
1353,tt0233469,28
1354,tt1891979,29
1355,tt1133511,78
1356,tt1890550,18
1357,tt2090663,31
1358,tt0029860,98
1359,tt0137895,0
1360,tt0056459,50
1361,tt2412560,0
